y,t,g,Q
1,0,0.5676284038513201,0.7463652504523962
1,0,0.4252824231959514,0.9505908779939738
1,0,0.25661182246537867,0.9296957113468906
1,0,0.49675521574672266,0.8988380434442509
1,0,0.027684361554479463,0.9969152182468103
1,0,0.4519300845918241,0.7463652504523962
1,0,0.48686056579564274,0.6800207419983454
1,0,0.20437591866042165,0.9296957113468906
1,0,0.054032818973748,0.9587152957310707
1,0,0.015747142089454352,0.9991805586628532
1,0,0.45079253334584,0.6513663290862953
1,0,0.5615639490751948,0.6862680678110226
0,0,0.41754560251892975,0.47237748947870395
1,0,0.5273542540565982,0.7307345623951883
1,0,0.45079253334584,0.6352342693057834
0,0,0.46877579605747344,0.6719955982973884
0,0,0.0,0.3305149616702418
1,0,0.06398364588421397,0.9587152957310707
1,0,0.09303149040733054,0.9672980350551891
0,0,0.4414079584549351,0.9719136610325705
1,0,0.4637408011190217,0.9505908779939738
1,0,0.5622327817589385,0.9505908779939738
1,0,0.14262348950161657,0.9367713821468203
1,0,0.09676235864187442,0.900258812155201
1,0,0.09753185189981999,0.9412899513946512
1,0,0.07865652407171361,0.9761650575507365
1,0,0.06894634768243472,0.9388825363411306
1,0,0.424936283384477,0.6352342693057834
1,0,0.5617662364715442,0.9653736798172163
1,0,0.08992514804500278,0.9543595088311029
1,0,0.25661182246537867,0.9386990786192614
1,0,0.36397167338742004,0.7372967616525398
1,0,0.054032818973748,0.9711300550776122
1,0,0.5014146349176875,0.9653736798172163
1,0,0.21619590262149813,0.49640260592875607
0,0,0.49238423207717674,0.7621581560634485
0,0,0.587871099036926,0.42605418543600404
0,0,0.433493790271679,0.7066654906085044
1,0,0.4480834516472777,0.588010479108258
1,0,0.20437591866042165,0.9386990786192614
1,0,0.5728324098154136,0.7181634691280605
0,0,0.0,0.2721580731855881
1,0,0.44537324145345913,0.7232186655595711
1,0,0.2986910000222758,0.9604751331704766
1,0,0.15549626484470377,0.9235018661619309
0,0,0.30889496717447645,0.8731945914353051
0,0,0.21517363219425328,0.27705363977364794
1,0,0.41353672761936544,0.7254712574365675
1,0,0.14721700890011738,0.9164228500541558
1,0,0.2592682205321415,0.517233671711669
1,0,0.5769092160937629,0.488434601128634
1,0,0.30889496717447645,0.7875325865306902
1,0,0.432743992854538,0.709585575786604
1,0,0.015747142089454352,0.9964207412309228
1,0,0.469128955158026,0.6309001671222197
1,0,0.0,0.39003332888564435
1,0,0.1192691518551487,0.9991805586628532
1,0,0.19339585279753516,0.9904845016237649
1,0,0.3698904979915397,0.49640260592875607
0,0,0.0,0.2807155524587425
1,0,0.07379660590332439,0.9976071647026524
1,0,0.5029338166502112,0.7799196210858192
1,0,0.2986910000222758,0.9253294055857917
1,0,0.23667338474417765,0.8464349999855955
1,0,0.01716399486182798,0.9969152182468103
1,0,0.01716399486182798,0.9991805586628532
0,0,0.5619176207672434,0.6494778739960938
0,0,0.5735667951811185,0.4547922380343789
1,0,0.39637314759120934,0.9340041973055014
1,0,0.5252773347834034,0.5871233323459224
1,0,0.5444885626815322,0.7407051527859927
0,0,0.424936283384477,0.6352342693057834
0,0,0.0,0.22733751132160795
0,0,0.5354585885103506,0.6777661723414362
1,0,0.1192691518551487,0.9138928942870826
1,0,0.5608170196777592,0.6519083571771459
1,0,0.20437591866042165,0.9386990786192614
1,0,0.5937264653028027,0.7936301643652298
1,0,0.08992514804500278,0.9761650575507365
0,0,0.3040801587301585,0.028509750054889947
1,0,0.5370234203865382,0.6590931903444475
0,0,0.011390427531125204,0.22637303012910268
1,0,0.41864337704025073,0.951199077985073
1,0,0.4567155288152779,0.7128142735363364
1,0,0.49675521574672266,0.8988380434442509
0,0,0.0,0.6347438718503929
1,0,0.07947517733189582,0.9976071647026524
0,0,0.0005357142857142857,0.013783165871086493
0,0,0.2047730052483634,0.674786299749723
1,0,0.5103752767226685,0.47237748947870395
1,0,0.02659547266559057,0.9991805586628532
0,0,0.48916023559997296,0.6898328683612855
1,0,0.25671358821117474,0.9547714192971126
0,0,0.0,0.0004897959183673469
1,0,0.096563549621625,0.9904845016237649
0,0,0.0006222222222222223,0.013783165871086493
1,0,2.325581395348837e-05,0.2672400559396659
0,0,0.0,0.45415020159188213
1,0,0.5155749994055244,0.7817905624687255
1,0,0.12486634043419322,0.9339628204328517
1,0,0.5747873993682496,0.787203213570427
1,0,0.02659547266559057,0.9976071647026524
1,0,0.5027147831700464,0.24480546598504468
1,0,0.5366431894274764,0.7626538576391344
1,0,0.44624424712201477,0.9719136610325705
1,0,0.016347142089454352,0.9969152182468103
0,0,0.1606837793135727,0.3398652305351805
1,0,0.15423111694057837,0.9235018661619309
1,0,0.4265623959518226,0.5838452437570251
1,0,0.12486634043419322,0.9458055969702129
1,0,0.2773738518570898,0.9386990786192614
1,0,0.16065093338220987,0.9165841358971923
1,0,0.2986910000222758,0.9286821984569554
1,0,0.20451481810153893,0.9567312732109319
1,0,0.015747142089454352,0.9904845016237649
0,0,0.2450246040923923,0.5209624619575228
1,0,0.5694453939511248,0.6862680678110226
0,0,0.5385827424248674,0.6463681825582873
0,0,0.4764393055771303,0.25839436002159
0,0,0.5735667951811185,0.42605418543600404
0,0,0.6161787447038449,0.6494778739960938
1,0,0.2755101058066065,0.9142943536470215
1,0,0.5769092160937629,0.5000585174268793
0,0,0.41754560251892975,0.6077900653480883
1,0,0.6337788860952782,0.5438772871770424
1,0,0.25661182246537867,0.9296957113468906
0,0,0.24934561798797342,0.3407061831960929
1,0,0.015747142089454352,0.9964207412309228
1,0,0.48993359513612467,0.6649119620808367
1,0,0.010909279754157794,0.9964207412309228
1,0,0.49675521574672266,0.8935502536587738
1,0,0.5825026228192457,0.40573399001293975
1,0,0.5094903424023994,0.5945727994223969
1,0,0.0,0.2597123485776264
0,0,0.4823893912681478,0.24480546598504468
1,0,0.4637408011190217,0.9653736798172163
1,0,0.5308738460378701,0.7469844180737643
0,0,0.062230362789955584,0.9761650575507365
0,0,0.27602610100308866,0.3398652305351805
1,0,0.0,0.3876349387411484
1,0,0.3832520457306521,0.9991805586628532
